,K,pc,s,mu,D,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,NumInitials,C_s,C_D,difference,y_neg_invades,y_pos_invades,x_neg_invades,x_pos_invades
560,0.060598,0.00621,0.5,-2.0,-2.0,0.0,0.018407,0.018407,0.963186,1.0,1.0,1.025078,64,-0.0018328185923906,-0.002057576542052,0.0,False,False,True,False
561,0.060598,0.00621,0.5,-2.0,-2.0,0.25,0.018347,0.018347,0.963306,0.995413,0.995413,1.024971,64,-0.0019507457616664,-0.0020420545592456,0.0,False,False,True,False
562,0.060598,0.00621,0.5,-2.0,-2.0,0.5,0.018287,0.018287,0.963425,0.990856,0.990856,1.024866,64,-0.0020678104668729,-0.0020266423501329,0.0,False,False,True,False
563,0.060598,0.00621,0.5,-2.0,-2.0,0.75,0.018228,0.018228,0.963543,0.986329,0.986329,1.024761,64,-0.0021832317715519,-0.0020114475535444,0.0,False,False,True,False
564,0.060598,0.00621,0.5,-2.0,-2.0,1.0,0.01817,0.01817,0.963661,0.98183,0.98183,1.024657,64,-0.0022970514593941,-0.0019964623786419,0.0,False,False,True,False
565,0.060598,0.00621,0.5,-2.0,-1.8,0.0,0.017827,0.017827,0.964346,1.0,1.0,1.024473,64,-0.003267273910823,-0.0019975005541427,0.0,True,False,True,False
566,0.060598,0.00621,0.5,-2.0,-1.8,0.25,0.017772,0.017772,0.964455,0.995557,0.995557,1.024375,64,-0.0033701416054713,-0.0019830171943713,0.0,True,False,True,False
567,0.060598,0.00621,0.5,-2.0,-1.8,0.5,0.017718,0.017718,0.964564,0.991141,0.991141,1.024277,64,-0.0034715566208455,-0.0019687394299779,0.0,True,False,True,False
568,0.060598,0.00621,0.5,-2.0,-1.8,0.75,0.017664,0.017664,0.964672,0.986752,0.986752,1.02418,64,-0.0035722679363032,-0.0019545590708894,0.0,True,False,True,False
569,0.060598,0.00621,0.5,-2.0,-1.8,1.0,0.01761,0.01761,0.964779,0.98239,0.98239,1.024084,64,-0.0036722782242986,-0.0019404757487317,0.0,True,False,True,False
570,0.060598,0.00621,0.5,-2.0,-1.6,0.0,0.01728,0.01728,0.965441,1.0,1.0,1.023902,64,-0.0046215382299952,-0.0019405673340025,0.0,True,False,True,False
571,0.060598,0.00621,0.5,-2.0,-1.6,0.25,0.017229,0.017229,0.965541,0.995693,0.995693,1.023811,64,-0.0047113319359066,-0.0019269813992036,0.0,True,False,True,False
572,0.060598,0.00621,0.5,-2.0,-1.6,0.5,0.01718,0.01718,0.965641,0.99141,0.99141,1.023721,64,-0.0047991492297868,-0.0019136934123217,0.0,True,False,True,False
573,0.060598,0.00621,0.5,-2.0,-1.6,0.75,0.01713,0.01713,0.965739,0.987152,0.987152,1.023631,64,-0.0048870759512058,-0.0019003891779849,0.0,True,False,True,False
574,0.060598,0.00621,0.5,-2.0,-1.6,1.0,0.017081,0.017081,0.965838,0.982919,0.982919,1.023542,64,-0.004973723708862,-0.0018872770533618,0.0,True,False,True,False
575,0.060598,0.00621,0.5,-2.0,-1.4,0.0,0.016762,0.016762,0.966476,1.0,1.0,1.023363,64,-0.0059026034415909,-0.0018864015322604,0.0,True,False,True,False
576,0.060598,0.00621,0.5,-2.0,-1.4,0.25,0.016716,0.016716,0.966568,0.995821,0.995821,1.023279,64,-0.0059797797042835,-0.0018737828219394,0.0,True,False,True,False
577,0.060598,0.00621,0.5,-2.0,-1.4,0.5,0.01667,0.01667,0.96666,0.991665,0.991665,1.023195,64,-0.0060564667456189,-0.0018612448092906,0.0,True,False,True,False
578,0.060598,0.00621,0.5,-2.0,-1.4,0.75,0.016625,0.016625,0.96675,0.987531,0.987531,1.023112,64,-0.0061320292998833,-0.0018488890206749,0.0,True,False,True,False
579,0.060598,0.00621,0.5,-2.0,-1.4,1.0,0.01658,0.01658,0.96684,0.98342,0.98342,1.02303,64,-0.0062071051590963,-0.0018366107655315,0.0,True,False,True,False
580,0.060598,0.00621,0.5,-2.0,-1.2,0.0,0.016272,0.016272,0.967457,1.0,1.0,1.022853,64,-0.0071149738881958,-0.0018349416312731,0.0,True,False,True,False
581,0.060598,0.00621,0.5,-2.0,-1.2,0.25,0.01623,0.01623,0.967541,0.995943,0.995943,1.022775,64,-0.0071812543577418,-0.0018231554044395,0.0,True,False,True,False
582,0.060598,0.00621,0.5,-2.0,-1.2,0.5,0.016188,0.016188,0.967625,0.991906,0.991906,1.022697,64,-0.0072471446684481,-0.0018114392121394,0.0,True,False,True,False
583,0.060598,0.00621,0.5,-2.0,-1.2,0.75,0.016146,0.016146,0.967708,0.98789,0.98789,1.02262,64,-0.0073126291003941,-0.001799792876783,0.0,True,False,True,False
584,0.060598,0.00621,0.5,-2.0,-1.2,1.0,0.016105,0.016105,0.967791,0.983895,0.983895,1.022544,64,-0.0073771186506181,-0.0017883217076165,0.0,True,False,True,False
585,0.060598,0.00621,0.5,-2.0,-1.0,0.0,0.015807,0.015807,0.968385,1.0,1.0,1.022371,64,-0.0082641291022456,-0.0017859035136574,0.0,True,False,True,False
586,0.060598,0.00621,0.5,-2.0,-1.0,0.25,0.015769,0.015769,0.968463,0.996058,0.996058,1.022298,64,-0.0083204912574412,-0.0017749216257479,0.0,True,False,True,False
587,0.060598,0.00621,0.5,-2.0,-1.0,0.5,0.01573,0.01573,0.96854,0.992135,0.992135,1.022226,64,-0.0083770677043542,-0.0017638947458805,0.0,True,False,True,False
588,0.060598,0.00621,0.5,-2.0,-1.0,0.75,0.015692,0.015692,0.968617,0.988231,0.988231,1.022154,64,-0.0084327768714797,-0.0017530382013036,0.0,True,False,True,False
